4385 マザーズ (株)メルカリ（情報・通信）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2018-06-19","5000","6000","4965","5300","36447300","5300"
"2018-06-20","5350","5360","4810","4910","13924300","4910"
"2018-06-21","4800","4965","4565","4810","9053400","4810"
"2018-06-22","4670","4850","4550","4550","3941900","4550"
"2018-06-25","4515","4650","4195","4270","4443400","4270"
"2018-06-26","4200","4730","4165","4545","6396900","4545"
"2018-06-27","4680","4890","4600","4710","5348100","4710"
"2018-06-28","4655","4705","4545","4675","1757600","4675"
"2018-06-29","4670","4775","4530","4535","1677400","4535"
"2018-07-02","4600","4795","4535","4540","1987400","4540"
"2018-07-03","4640","4655","4300","4440","1796100","4440"
"2018-07-04","4400","4460","4325","4395","1031300","4395"
"2018-07-05","4435","4460","4270","4290","1293700","4290"
"2018-07-06","4330","4375","4220","4225","945700","4225"
"2018-07-09","4275","4480","4245","4450","1259800","4450"
"2018-07-10","4580","4695","4455","4555","2064000","4555"
"2018-07-11","4585","4605","4465","4470","667300","4470"
"2018-07-12","4470","4580","4435","4460","806900","4460"
"2018-07-13","4515","4515","4365","4410","801800","4410"
"2018-07-17","4400","4415","4325","4325","572800","4325"
"2018-07-18","4345","4415","4245","4390","796400","4390"
"2018-07-19","4390","4650","4340","4595","1812700","4595"
"2018-07-20","4630","4800","4630","4800","2570000","4800"
"2018-07-23","4865","4975","4770","4835","2184400","4835"
"2018-07-24","4875","4875","4720","4745","1155600","4745"
"2018-07-25","4725","4815","4720","4775","853900","4775"
"2018-07-26","4760","4780","4545","4560","961700","4560"
"2018-07-27","4650","4755","4615","4685","993900","4685"
"2018-07-30","4710","4825","4700","4720","1019400","4720"
"2018-07-31","4750","4850","4680","4710","1073200","4710"
"2018-08-02","4625","4645","4560","4565","460900","4565"
"2018-08-03","4575","4635","4570","4600","308500","4600"
"2018-08-06","4600","4615","4505","4505","370200","4505"
"2018-08-07","4550","4615","4525","4600","445300","4600"
"2018-08-08","4580","4645","4570","4620","420700","4620"
"2018-08-09","4710","4815","4650","4735","1459200","4735"
"2018-08-10","4265","4375","4220","4225","4208100","4225"
"2018-08-13","4100","4100","3875","3915","2594800","3915"
"2018-08-14","3870","3900","3650","3865","2479400","3865"
"2018-08-15","3900","3910","3745","3780","1142900","3780"
"2018-08-17","3840","3865","3810","3835","429700","3835"